name,GALEX_NUV,WISE_3.4,SPIRE_250,t,type,n,q
PGC012608,0.00140212129758,0.00445966825901,0.0931519876375,9.0,1,1.35,0.84
NGC1316,0.035823773227400005,3.36351848027,10.4799373541,-1.8,0,5.86,0.69
NGC1317,0.0036280016592600004,0.249285884661,5.00477755017,0.8,1,7.42,0.94
NGC1320,9.56452936759E-4,0.0770510631235,1.51296186679,0.9,1,5.22,0.28
NGC1336,6.76524958359E-4,0.050241761279699995,0.165545001945,-3.0,0,5.85,0.77
ESO358-006,2.1455364079599995E-4,-2.02700319789E-4,-0.0235262556979,-3.8,0,0.8,0.43
NGC1351A,6.110203234639999E-4,0.0268834467727,1.7387499785099998,4.2,1,0.82,0.13
NGC1351,0.0012611511258599998,0.1457738687,,-3.1,0,7.28,0.57
PGC013058,8.39948301756E-4,0.00879952374645,0.17692433072099997,-4.5,0,2.36,0.65
PGC013084,1.57348412035E-4,0.010237713133299998,-0.00912818023943,-2.0,0,2.0,0.73
PGC013097,9.81571822168E-5,0.00462147092434,0.056494925480699995,-2.2,0,1.53,0.77
PGC013146,1.8709891179299998E-4,0.0068959281877000005,0.019690131559599998,-2.8,0,2.64,0.43
ESO358-015,6.07726094992E-4,0.0033607759746900005,0.038179317381699995,8.7,1,1.16,0.61
ESO358-016,2.18769991417E-4,0.0020690185534800003,0.164221887698,7.1,1,1.1,0.16
NGC1365,0.058668388832400005,1.15619047294,101.239959284,3.2,1,19.64,0.74
PGC013230,1.80157799342E-4,0.009436477313219999,0.143953879777,-2.4,0,2.18,0.73
ESO358-019,1.0950554776899999E-4,0.0034952530489,0.042743766872199995,-3.0,0,1.69,0.42
NGC1373,2.5622141676700003E-4,0.0210125216356,-0.0108002040746,-3.6,0,4.27,0.78
NGC1374,0.00100860897548,0.179005409766,0.070361004923,-4.5,0,4.5,0.88
NGC1375,6.47436768867E-4,0.0551882057743,0.155842644587,-2.2,0,2.08,0.41
IC0335,4.6798682828900004E-4,0.07357576918549999,0.0544324006401,-2.1,0,1.48,0.17
NGC1379,0.0011064684167999999,0.197665621952,0.127741769108,-4.8,0,2.93,0.98
NGC1381,7.25239810593E-4,0.146083551157,-0.026443823923499997,-2.1,0,3.45,0.25
NGC1377,,0.048242559705,1.31902026046,-2.1,0,3.54,0.53
NGC1369,2.06290266935E-4,0.035362234517099994,-0.020498685171,0.1,0,1.7,0.75
NGC1386,0.00198040844778,0.213022785264,3.8726626021599997,-0.7,0,5.31,0.43
NGC1380A,5.11595387899E-4,0.0511008340379,0.11441055775900001,-1.9,0,1.33,0.24
PGC013343,1.6985411532799996E-4,0.011508227380899998,0.0792467046719,-2.8,0,2.88,0.88
NGC1387,0.00237995913558,0.38390900738399997,2.58868279438,-2.8,0,8.69,0.85
NGC1389,0.0011111931529300002,0.150021557147,0.200691364714,-2.8,0,3.56,0.62
ESO358-042,6.55816698238E-5,0.00352258589308,-0.15773735408700001,-2.2,0,1.76,0.48
ESO358-043,1.74108837047E-4,0.009960355929410001,0.184657047544,-3.0,0,1.62,0.39
NGC1399,0.0126716198538,1.61497661753,1.04698202622,-4.6,0,8.2,0.92
NGC1404,0.00292046792816,0.595690879402,0.14099698173900002,-4.8,0,4.27,0.85
NGC1427A,0.004038466631809999,0.0156613812556,0.6778284345190001,9.9,1,1.35,0.62
NGC1412,4.7684124589199994E-4,0.049552875596199995,0.0205430752248,-2.2,0,3.48,0.32
NGC1419,3.7939768275300004E-4,0.0412348268069,0.0267239038443,-4.9,0,4.52,0.92
ESO358-050,8.365011246260001E-4,0.0476545146523,0.147162490076,-2.1,0,1.86,0.39
ESO358-051,0.00165519967535,0.015270773590799999,0.7341403706730001,0.3,0,1.64,0.51
NGC1427,0.00196139826919,0.22365153418699998,,-4.0,0,5.35,0.7
NGC1428,4.1525287546E-4,0.0461234194819,0.0752745927693,-3.0,0,2.12,0.54
PGC013635,3.4731867506800003E-4,0.0120578306663,0.208475333477,-5.0,0,1.26,0.75
ESO358-054,0.0023677039900599998,0.00848505798292,0.519852296752,7.9,1,1.31,0.68
PGC166861,8.42706816293E-5,0.00378498538611,0.15900511418299998,-5.0,0,0.43,0.58
ESO358-056,1.4731480666799998E-4,0.0048393390682,-0.0773519717386,-2.2,0,0.96,0.25
NGC1436,0.0028817299383499997,0.1102183775,3.96985590518,2.0,1,0.81,0.64
UGC02826,0.0044467271253000006,0.10140451565400001,2.94987415649,5.0,1,1.79,0.61
ESO358-059,2.2812812516799996E-4,0.024772782695599998,-0.041519984585199995,-3.3,0,3.98,0.58
ESO358-060,7.77324859885E-4,7.400768831810001E-4,0.0125438274531,9.8,1,0.83,0.28
PGC166077,0.00606383912915,0.00736651514646,0.611380050965,10.0,1,0.47,0.34
NGC1437B,0.0011972242754800001,0.023187820205200004,1.50148400525,8.3,1,1.31,0.32
NGC1460,0.00484792195095,0.0414591843981,0.0698816159705,-1.9,0,2.05,0.59
ESO358-063,0.0031335834475400004,0.117722278572,7.46302477175,6.9,1,1.47,0.18
IC0342,0.7931725450910001,8.61621611714,581.690508644,6.0,1,2.58,0.88
ESO358-066,9.88824552655E-5,0.00422271563288,0.0128903603637,-3.8,0,1.13,0.43
ESO359-002,8.39191472226E-4,0.0173577571443,-0.172378792544,-3.4,0,1.57,0.61
NGC1481,0.00142422160031,0.022923176051400002,0.474955628756,-3.0,0,5.21,0.65
NGC1482,0.00143237895161,0.19501547748300002,15.8203869824,-0.8,0,4.34,0.47
ESO549-035,9.041362232060002E-4,0.002678286747,0.205632846585,6.0,1,1.72,0.69
NGC1510,0.005104840432060001,0.028287454823599997,0.46900638698299996,-1.8,0,4.09,0.95
NGC1512,0.0193059255336,0.44174470196599996,12.6948147955,1.1,1,5.76,0.65
NGC1566,0.0627125237376,0.734519503891,38.9833935265,4.0,1,3.3,0.77
UGC03016,,0.0324681994743,1.39916674178,5.9,1,0.93,0.17
NGC1569,0.919626680984,0.35340197966,11.3539033413,9.6,1,1.79,0.38
IC2085,4.8684646383499996E-4,0.0275193550174,1.03815335284,-1.2,0,2.39,0.22
NGC1617,0.0026619096896899996,0.48405292579400006,4.78432026466,1.1,1,2.61,0.49
ESO157-047,6.82843064391E-4,0.00309386172236,0.151231887406,0.0,0,2.59,0.32
ESO157-049,5.601526546779999E-4,0.0329412888921,,5.3,1,0.51,0.17
NGC1705,0.014098773825900001,0.0329849979598,0.976321201471,-2.7,0,4.82,0.8
NGC1800,0.0060564305778400005,0.0318236716426,1.12391561185,8.0,1,1.28,0.47
NGC1808,0.013562307691799998,0.935869246151,61.4099230921,1.2,1,13.34,0.42
NGC1924,,0.0702446163425,4.32270768309,4.0,1,0.86,0.85
NGC2110,-0.00127284432326,0.32726178396899996,2.2532498855500003,-3.0,0,18.66,0.71
NGC2207,0.0321869300383,0.366461438011,26.433215934699998,4.6,1,6.46,0.69
IC2163,0.0319618894386,0.345378466225,25.4294276138,5.2,1,0.84,0.58
NGC2146,0.0105817641292,0.852663961912,64.40127851529999,2.3,1,3.43,0.41
NGC2273,0.00253204701703,0.165601360484,4.3092558032,0.9,1,6.84,0.74
PGC2807061,,0.00511383753304,-0.115974530039,10.0,1,14.7,0.2
ESO491-020,0.00972436802218,0.1218229337,,3.0,1,14.98,0.66
ESO491-021,0.00780964159091,0.124481100749,,2.1,1,1.12,0.29
UGC03701,0.0016680676661300002,0.009095621351139999,0.493337943625,6.0,1,1.48,0.88
ESO428-014,7.27933384356E-4,0.222720270215,,-1.8,0,8.1,0.63
NGC2403,0.280781118019,1.6407483629700002,120.70999797200001,6.0,1,1.43,0.59
